"ENTIDAD","DISTRITO","NOMBRE.CANDIDATO","AP.CEN.EFE","AP.CEN.ESP","AP.OT.EFE","AP.OT.ESP","AP.CAN.EFE","AP.CAN.ESP","AP.MIL.ESP","AP.SIM.ESP","AP.MIL.EFE","AP.SIM.EFE","REND.FINC","TRANS.NOFED","OTROS","FIN.PUB.INDEP","TOTAL","PARTY","NO.REPORT"
"Aguascalientes","1","Gerardo Federico Salas Díaz",5e+05,281719.21,20880,66809.55,0,23492,12000,33592,0,0,0,0,0,0,938492.76,"PAN",NA
"Aguascalientes","2","Arlette Ivette Muñoz Cervantes",5e+05,256199.21,103250,71396.85,50000,0,0,55500,21500,23000,0,0,0,0,1080846.06,"PAN",NA
"Aguascalientes","3","Jorge López Martín",5e+05,281747.52,136148,66809.55,0,0,997.6,0,0,0,0,0,0,0,985702.67,"PAN",NA
"Baja California","1","Exaltación González Ceceña",2e+05,38920.47,110846,209089.44,0,0,29700,12980,0,0,0,0,0,0,601535.91,"PAN",NA
"Baja California","2","Luz Argelia Paniagua Figueroa",2e+05,38920.47,0,209089.44,0,0,56550,59300,25000,21000,0,0,0,0,609859.91,"PAN",NA
"Baja California","3","Wenceslao Martínez Santos",2e+05,38920.47,28536,209862.77,40000,0,15000,0,54660,37000,0,0,0,0,623979.24,"PAN",NA
"Baja California","4","Jorge Ramos Hernández",6e+05,38920.47,0,209862.77,50000,0,0,59600,50000,36931.28,0,0,0,0,1045314.52,"PAN",NA
"Baja California","5","José Máximo García López",6e+05,38920.47,47560,209862.75,0,0,66804,81134,0,0,0,0,0,0,1044281.22,"PAN",NA
"Baja California","6","Maria Luisa Sánchez Meza",6e+05,38920.47,0,209862.77,0,56317.54,0,58216,50000,0,0,0,0,0,1013316.78,"PAN",NA
"Baja California","7","María del Rosario Rodríguez Rubio",2e+05,38920.47,160718,211409.43,0,0,100800,0,0,50000,0,0,0,0,761847.9,"PAN",NA
"Baja California","8","Jacqueline Nava Mouett",320000,39141.34,266581.59,209862.77,0,0,9280,49500,0,0,0,0,0,0,894365.7,"PAN",NA
"Baja California Su","1","Jisela Paes Martínez",2e+05,62691.54,29634.84,0,50000,0,24000,0,0,0,0,0,0,0,366326.38,"PAN",NA
"Baja California Su","2","Victor Ernesto Ibarra Montoya",2e+05,62691.54,29634.84,0,50000,0,0,47500,50000,0,0,0,0,0,439826.38,"PAN",NA
"Campeche","1","Juan Carlos Lavalle Pinzón",3e+05,323751.59,2422.49,64038.96,0,87000,0,0,0,0,0,18192.26,0,0,795405.3,"PAN",NA
"Campeche","2","Rocío Matesanz Santamaría",4e+05,323751.59,6186.59,64038.96,0,0,0,69600,0,0,0,22317.94,0,0,885895.08,"PAN",NA
"Chiapas","1","Janet Itala Paniagua Vargas",2e+05,246126.39,0,128608.71,0,0,0,0,0,0,0,0,0,0,574735.1,"PAN",NA
"Chiapas","2","Dilssia Nelleli Laguna Trejo",2e+05,246126.39,0,128608.71,0,0,0,0,0,0,0,0,0,0,574735.1,"PAN",NA
"Chiapas","3","Fernando Cruz Jiménez",2e+05,246126.39,0,128608.71,0,0,1155,0,0,0,0,0,0,0,575890.1,"PAN",NA
"Chiapas","4","Iris Kristal Jonapa Rodas",2e+05,246126.39,0,128608.71,0,0,1450,0,0,0,0,0,0,0,576185.1,"PAN",NA
"Chiapas","5","Domingo González Jiménez",2e+05,246126.39,0,128608.71,0,0,3870,0,0,0,0,0,0,0,578605.1,"PAN",NA
"Chiapas","6","Catalina Caravantes Almaráz",2e+05,246126.39,0,128608.71,0,0,0,0,0,0,0,0,0,0,574735.1,"PAN",NA
"Chiapas","7","José Eduardo Martínez Rincón",2e+05,246126.39,0,128608.71,0,0,0,0,0,0,0,0,0,0,574735.1,"PAN",NA
"Chiapas","8","Zinnia Esther Navarrete González",2e+05,246126.39,0,128608.71,0,0,0,0,0,0,0,0,0,0,574735.1,"PAN",NA
"Chiapas","9","César Augusto Rodríguez Cal y Mayor",2e+05,246126.39,0,128608.71,0,0,0,9750,0,0,0,0,0,0,584485.1,"PAN",NA
"Chiapas","10","Bertha Karina Bravo Ocaña",2e+05,246126.39,0,128608.71,0,0,7794,3633,0,0,0,0,0,0,586162.1,"PAN",NA
"Chiapas","11","Héctor Reyes Ramírez",2e+05,246126.39,0,128608.71,0,0,3535,1690,0,0,0,0,0,0,579960.1,"PAN",NA
"Chiapas","12","Mónica del Carmen Escobar González",2e+05,246208.03,0,128608.79,0,0,6875,0,0,0,0,0,0,0,581691.82,"PAN",NA
"Chihuahua","1","Andrés Morales Arreola",2e+05,191763.73,148451.14,63509.1,0,0,0,0,0,0,0,0,0,0,603723.97,"PAN",NA
"Chihuahua","2","Ma. Dolores Juárez López",2e+05,214963.73,98479.9,63509.1,0,0,0,0,0,0,0,0,0,0,576952.73,"PAN",NA
"Chihuahua","3","Edna Xóchitl Contreras Herrera",5e+05,196693.73,167459.89,63509.1,0,0,6500,0,0,0,0,0,0,0,934162.72,"PAN",NA
"Chihuahua","4","Raul García Ruíz",6e+05,214963.73,48400,63509.1,10.32,0,3800,0,0,0,0,0,0,0,930683.15,"PAN",NA
"Chihuahua","5","Mario Mata Carrasco",5e+05,217283.73,108710.32,63509.1,0,0,0,9969.6,0,0,0,0,0,0,899472.75,"PAN",NA
"Chihuahua","6","Juan Alberto Blanco Zaldívar",3e+05,185093.73,1e+05,63509.1,0,0,0,0,0,0,0,0,0,0,648602.83,"PAN",NA
"Chihuahua","7","Patricia Terrazas Baca",3e+05,217283.73,175246.28,63509.1,0,34500,17836.92,18000,0,0,0,0,0,0,826376.03,"PAN",NA
"Chihuahua","8","Rosa Maria Baray Trujillo",5e+05,185093.73,105000,63509.1,0,0,0,0,0,0,0,0,0,0,853602.83,"PAN",NA
"Chihuahua","9","Carmen Margarita Cano Villegas",2e+05,203536.29,170000,63509.1,0,0,18500,18500,0,0,0,0,0,0,674045.39,"PAN",NA
"Coahuila","1","Ricardo Muzquiz Rodríguez",2e+05,328796.24,60742.96,60206.28,0,0,26324.18,0,0,0,0,0,0,0,676069.66,"PAN",NA
"Coahuila","2","Susana Sánchez Sosa",2e+05,328796.24,30242.96,71627.1,0,49280,0,0,0,0,0,0,0,0,679946.3,"PAN",NA
"Coahuila","3","Eduardo García Andrade",5e+05,328796.24,76642.96,71034.32,0,0,0,0,50000,50000,0,0,0,0,1076473.52,"PAN",NA
"Coahuila","4","Ángel Alberto Berkowitz Olvera",2e+05,328796.24,120162.96,82049.32,0,0,17736,10000,25070,21100,0,0,0,0,804914.52,"PAN",NA
"Coahuila","5","Blanca Eppen Canales",2e+05,328796.24,80802.96,63059.32,0,0,0,0,0,0,0,0,0,0,672658.52,"PAN",NA
"Coahuila","6","Jorge Zermeño Infante",4e+05,328796.24,32242.84,61880.29,50000,0,47777.5,0,5000,15000,0,0,0,0,940696.87,"PAN",NA
"Coahuila","7","Dora Alicia Martínez Valero",5e+05,328878.92,92242.96,74167.85,0,0,21146.4,55700,11600,0,0,0,0,0,1083736.13,"PAN",NA
"Colima","1","José Manuel Moreno González",5e+05,304879.03,0,58089.65,0,0,0,0,0,0,0,25000,0,0,887968.68,"PAN",NA
"Colima","2","Eloisa Chavarrías Barajas",5e+05,304879.04,0,27120,0,0,0,0,0,0,0,64098.67,0,0,896097.71,"PAN",NA
"Distrito Federal","1","Esperanza Cervantes González",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","2","Ricardo David Chávez Ríos",2e+05,609313.41,0,27592.59,2000,20359.48,33129.6,0,0,0,0,0,0,0,892395.08,"PAN",NA
"Distrito Federal","3","José de Jesús Cortés López",2e+05,609313.41,0,27592.59,0,0,0,0,30000,0,0,0,0,0,866906,"PAN",NA
"Distrito Federal","4","Luis Antonio Oviedo Garza",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","5","Andrés Sánchez Miranda",2e+05,609313.41,0,27592.59,0,0,7250,53128,0,0,0,0,0,0,897284,"PAN",NA
"Distrito Federal","6","Claudia Jiménez Amador",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","7","Marco Antonio Garrido y Zayas",2e+05,608464.79,0,27592.59,0,0,0,0,0,0,0,0,0,0,836057.38,"PAN",NA
"Distrito Federal","8","Mario Alberto Delgadillo Sánchez",2e+05,609313.41,0,27592.59,0,0,30000,0,0,0,0,0,0,0,866906,"PAN",NA
"Distrito Federal","9","Bibiana Laguna Vanegas",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","10","Jorge Triana Tena",4e+05,609313.41,0,27592.59,8000,2000,30000,18000,0,0,0,7238.63,0,0,1102144.63,"PAN",NA
"Distrito Federal","11","Heidy Fabiola Segura Arias",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","12","José Adrián Arzate López",2e+05,609313.41,0,27592.59,0,19733.33,0,0,0,0,0,0,0,0,856639.33,"PAN",NA
"Distrito Federal","13","Jacqueline Chávez Sánchez",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","14","Ana Cecilia Luisa Hernández Quezada",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","15","Federico Döring Casar",4e+05,609313.68,0,27592.59,0,0,0,0,43500,27700,0,0,0,0,1108106.27,"PAN",NA
"Distrito Federal","16","Ana Laura Luna Coria",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","17","Omar Fabricio Montaño Figueroa",2e+05,609313.41,0,27592.59,0,0,43697.2,10440,0,0,0,0,0,0,891043.2,"PAN",NA
"Distrito Federal","18","Iliana Rivera Ortega",2e+05,609313.41,0,27592.59,0,0,17400,58000,0,0,0,0,0,0,912306,"PAN",NA
"Distrito Federal","19","Evelyn Verónica Figueroa Reyes",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","20","Lilia Álvarez Patiño",2e+05,609313.41,0,27592.59,0,0,0,58000,21090.91,0,0,0,0,0,915996.91,"PAN",NA
"Distrito Federal","21","Miguel Ángel Elizalde González",2e+05,626360.39,0,27592.59,0,0,0,0,0,0,0,0,0,0,853952.98,"PAN",NA
"Distrito Federal","22","María Isabel Morales Velázquez",2e+05,610586.31,0,27592.59,0,0,0,0,0,0,0,0,0,0,838178.9,"PAN",NA
"Distrito Federal","23","María del Carmen Arriaga Pérez",2e+05,609313.41,0,27592.59,0,6109.32,8042.66,23734,0,0,0,0,0,0,874791.98,"PAN",NA
"Distrito Federal","24","Héctor Barrera Marmolejo",2e+05,629826.08,0,27592.59,0,0,3480,3480,0,0,0,0,0,0,864378.67,"PAN",NA
"Distrito Federal","25","Ana Lilia Ramírez Jiménez",2e+05,609313.41,0,27592.59,0,0,0,0,0,0,0,0,0,0,836906,"PAN",NA
"Distrito Federal","26","Gabriel Gómez del Campo Gurza",4e+05,609313.41,0,27592.59,0,54800.14,60400.14,0,0,0,0,0,0,0,1152106.28,"PAN",NA
"Distrito Federal","27","Celia Dolores Ramírez Rioja",2e+05,608464.81,0,27592.59,0,0,1293.62,0,0,0,0,0,0,0,837351.02,"PAN",NA
"Durango","1","Daniel Delgado Meraz",350000,206858.54,0,74199.91,0,32408,0,0,0,0,0,0,0,0,663466.45,"PAN",NA
"Durango","2","María del Carmen Ávalos Uranga",2e+05,206858.54,0,74199.91,0,0,0,0,0,0,0,0,0,0,481058.45,"PAN",NA
"Durango","3","Nanci Carolina Vásquez Luna",2e+05,206858.54,0,74199.91,0,17000,0,0,0,0,0,0,0,0,498058.45,"PAN",NA
"Durango","4","Luis Fernando Galindo Ramírez",4e+05,206859.93,0,74199.91,25990.56,0,10700,49880,0,0,0,0,0,0,767630.4,"PAN",NA
"Guanajuato","1","Diego Alberto Leyva Merino",2e+05,74070.06,0,142224.11,0,0,44360.69,37600.5,0,0,0,0,0,0,498255.36,"PAN",NA
"Guanajuato","2","María Verónica Agundis Estrada",2e+05,74072.07,0,142221.81,0,0,16183.16,0,0,0,0,0,0,0,432477.04,"PAN",NA
"Guanajuato","3","Francisco Ricardo Sheffield Padilla",5e+05,74072.07,519.78,141702.03,0,0,0,15742.65,17052,0,0,0,0,0,749088.53,"PAN",NA
"Guanajuato","4","María Raquel Barajas Monjaras",2e+05,74072.07,3149.69,139072.12,0,0,33399.6,17500.01,0,0,0,0,0,0,467193.49,"PAN",NA
"Guanajuato","5","Alejandra Noemí Reynoso Sánchez",5e+05,74072.07,0,142221.81,0,0,0,0,0,0,0,0,0,0,716293.88,"PAN",NA
"Guanajuato","6","Alejandra Gutiérrez Campos",5e+05,74072.07,0,142221.81,0,0,0,0,0,0,0,0,0,0,716293.88,"PAN",NA
"Guanajuato","7","David Padilla Jiménez",2e+05,74072.07,0,142221.81,0,0,0,0,0,0,0,0,0,0,416293.88,"PAN",NA
"Guanajuato","8","Karina Padilla Ávila",2e+05,74072.07,0,142221.81,0,18884,406,0,0,0,0,0,0,0,435583.88,"PAN",NA
"Guanajuato","9","Sergio Carlo Bernal Cárdenas",2e+05,74072.07,0,142221.81,0,0,0,0,0,0,0,0,0,0,416293.88,"PAN",NA
"Guanajuato","10","Martha Cintora Aguilar",2e+05,74072.07,0,142221.81,0,0,7975,0,0,0,0,0,0,0,424268.88,"PAN",NA
"Guanajuato","11","José Erandi Bermúdez Méndez",5e+05,159912.07,0,142221.81,0,0,0,0,0,0,0,0,0,0,802133.88,"PAN",NA
"Guanajuato","12","Adriana Elizarraráz Sandoval",2e+05,74072.07,0,246248.97,0,0,0,0,0,0,0,0,0,0,520321.04,"PAN",NA
"Guanajuato","13","Ariel Enrique Corona Rodríguez",2e+05,74072.07,0,176648.95,0,0,0,0,0,0,0,0,0,0,450721.02,"PAN",NA
"Guanajuato","14","René Mandujano Tinajero",2e+05,74230.52,0,142221.81,0,0,0,0,0,0,0,0,0,0,416452.33,"PAN",NA
"Guerrero","1","Yolanda Vázquez Bautista",2e+05,282618.67,0,31866.06,0,0,0,0,0,0,0,0,0,0,514484.73,"PAN",NA
"Guerrero","2","Brenda Martínez Morales",2e+05,282618.7,0,31866.06,0,0,0,0,0,0,0,12997.3,0,0,527482.06,"PAN",NA
"Guerrero","3","José Manuel Maciel Andrade",2e+05,282618.7,0,31866.06,0,32100,0,32250,0,0,0,59258.1,0,0,638092.86,"PAN",NA
"Guerrero","4","Juan José Francisco Rodríguez Otero",5e+05,282618.9,2e+05,31866.06,0,0,0,0,0,0,0,0,0,0,1014484.96,"PAN",NA
"Guerrero","5","Delfino Espinoza Abundio",2e+05,282618.7,0,31866.67,0,12000,0,10500,0,0,0,59252.09,0,0,596237.46,"PAN",NA
"Guerrero","6","Óscar José Silva Abarca",2e+05,282618.7,0,31866.06,0,0,3000,0,0,0,0,0,0,0,517484.76,"PAN",NA
"Guerrero","7","Alondra Altamirano Gómez",2e+05,282618.7,0,31866.06,0,0,0,0,0,0,0,0,0,0,514484.76,"PAN",NA
"Guerrero","8","Mijane Jiménez Salinas",2e+05,282618.7,0,31866.06,0,0,0,0,0,0,0,12997.3,0,0,527482.06,"PAN",NA
"Guerrero","9","Laura Patricia Caballero Rodríguez",2e+05,282830.49,0,31866.06,0,26000,0,0,0,0,0,0,0,0,540696.55,"PAN",NA
"Hidalgo","1","Martha Margeri Rivera Núñez",2e+05,285548.2,0,58131.43,0,0,0,17708.88,0,0,0,0,0,0,561388.51,"PAN",NA
"Hidalgo","2","José María Lozano Moreno",4e+05,285548.09,0,61631.43,0,0,0,42500,0,0,0,0,0,0,789679.52,"PAN",NA
"Hidalgo","3","Virginia Escamilla Cortés",2e+05,285548.09,0,58131.43,0,0,0,13088,0,0,0,0,0,0,556767.52,"PAN",NA
"Hidalgo","4","Rubén Augusto Muñoz Saucedo",2e+05,285548.09,0,58131.43,0,0,42036.52,30000,10000,0,0,0,0,0,625716.04,"PAN",NA
"Hidalgo","5","Rosendo Cruz Rufino",4e+05,285548.09,0,58131.43,50000,10700,0,15200,0,0,0,0,0,0,819579.52,"PAN",NA
"Hidalgo","6","Roxana Montealegre Salvador",4e+05,285548.09,0,58131.43,0,0,1200,9000,10000,0,0,0,0,0,763879.52,"PAN",NA
"Hidalgo","7","Teresa Alejandra Aguilar Garfias",2e+05,285798.54,0,58131.43,0,0,0,20000,0,0,0,0,0,0,563929.97,"PAN",NA
"Jalisco","1","Bonifacio Romero Velador",5e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,798224.8,"PAN",NA
"Jalisco","2","José de Jesús Hurtado Torres",7e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,998224.8,"PAN",NA
"Jalisco","3","Elías Octavio Íñiguez Mejía",7e+05,247865.74,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,998224.81,"PAN",NA
"Jalisco","4","Anabell Hernández Flores",2e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,498224.8,"PAN",NA
"Jalisco","5","Dulce María Flores Flores",2e+05,247865.73,0,18438.62,0,0,0,0,74000,0,0,31920.45,0,0,572224.8,"PAN",NA
"Jalisco","6","Joel Arellano Arellano",5e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,81920.45,0,0,848224.8,"PAN",NA
"Jalisco","7","Rocío Acosta Cervantes",2e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,498224.8,"PAN",NA
"Jalisco","8","Diana Araceli González Martínez",5e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,798224.8,"PAN",NA
"Jalisco","9","Paola Cruz González Mercado",2e+05,271065.74,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,521424.81,"PAN",NA
"Jalisco","10","Benjamín Hernández Jiménez",7e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,998224.8,"PAN",NA
"Jalisco","11","Laura Mireya Hernández Vázquez",2e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,498224.8,"PAN",NA
"Jalisco","12","Eduardo Vázquez Carranza",2e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,498224.8,"PAN",NA
"Jalisco","13","Liliana Torres Villanueva",5e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,798224.8,"PAN",NA
"Jalisco","14","César Cuauhtémoc Íñiguez González",5e+05,247865.73,0,18438.62,0,0,0,0,0,0,0,81510.45,0,0,847814.8,"PAN",NA
"Jalisco","15","Absalón García Ochoa",5e+05,247865.73,0,18438.62,0,0,14500,0,0,0,0,82181.45,0,0,862985.8,"PAN",NA
"Jalisco","16","Antonio de Loza Yñiguez",2e+05,247865.73,0,18438.62,0,0,0,0,23954.62,0,0,31920.45,0,0,522179.42,"PAN",NA
"Jalisco","17","Fabiola Vallejo Robledo",2e+05,258865.73,0,18438.62,0,0,0,0,0,0,0,31920.45,0,0,509224.8,"PAN",NA
"Jalisco","18","Jaime Ismael Díaz Brambila",7e+05,247865.73,0,18438.62,0,0,0,0,29000,0,0,31920.45,0,0,1027224.8,"PAN",NA
"Jalisco","19","Martha Ruth del Toro Gaytán",5e+05,259352.83,0,18438.52,0,0,0,0,4400,0,0,31920.45,0,0,814111.8,"PAN",NA
"México","1","David Vargas Santos",2e+05,508525.52,0,27667,0,43096,12122,0,0,0,0,0,0,0,791410.52,"PAN",NA
"México","2","Nora Adriana Oviedo Ramírez",427120,508525.52,0,27667,300,0,6200,0,0,0,0,0,0,0,969812.52,"PAN",NA
"México","3","Edgar Flores Rueda",2e+05,508525.52,0,27667,0,455.52,0,5350,0,0,0,0,0,0,741998.04,"PAN",NA
"México","4","María de los Ángeles Zamora González",4e+05,508525.52,0,27667,0,7200,0,15560,0,0,0,0,0,0,958952.52,"PAN",NA
"México","5","Susana Quezada Lozano",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","6","Jaqueline Godínez Martínez",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","7","Claudia Vázquez González",450000,508525.52,0,27667,0,0,38997.94,8120,0,0,0,0,0,0,1033310.46,"PAN",NA
"México","8","María de la Luz Ramírez Mejía",2e+05,508525.52,0,27667,5000,0,38427.74,0,5000,0,0,0,0,0,784620.26,"PAN",NA
"México","9","Paula Santander Jiménez",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","10","Uriel Fuentes Yunes",2e+05,508525.52,0,27667,0,0,0,6890.4,0,0,0,0,0,0,743082.92,"PAN",NA
"México","11","Ricardo Alcántara de la Rosa",2e+05,508525.52,0,27667,0,0,0,20892.53,0,0,0,0,0,0,757085.05,"PAN",NA
"México","12","María Arelly González Higuera",2e+05,508525.52,0,27667,50,0,0,5992.5,0,0,0,0,0,0,742235.02,"PAN",NA
"México","13","Ana María Laguna Barrón",2e+05,508525.52,0,27667,0,0,0,20880,0,0,0,0,0,0,757072.52,"PAN",NA
"México","14","Ingrid Krasopani Schemelensky Castro",450000,520125.52,0,27667,0,0,0,12000,0,0,0,0,0,0,1009792.52,"PAN",NA
"México","15","Román Francisco Cortés Lugo",450000,508525.52,0,27667,0,0,0,49161.73,0,0,0,0,0,0,1035354.25,"PAN",NA
"México","16","Nayeli Barragán García",2e+05,508525.52,0,27667,0,21240,0,0,0,0,0,0,0,0,757432.52,"PAN",NA
"México","17","Talia Teresa Rivera Posada",2e+05,522445.52,0,27667,0,0,0,20880,0,0,0,0,0,0,770992.52,"PAN",NA
"México","18","Graciela Josefina Cámara Guerrero",250000,508525.52,0,27667,0,0,0,50000,0,0,0,0,0,0,836192.52,"PAN",NA
"México","19","Raúl Uribe Soria",450000,508525.52,0,27667,0,0,49690,22700,0,0,0,0,0,0,1058582.52,"PAN",NA
"México","20","María del Rocio Lule Becerra",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","21","Luis Gilberto Marrón Agustín",4e+05,508525.52,0,27667,0,21344,0,0,0,0,0,0,0,0,957536.52,"PAN",NA
"México","22","Angélica Moya Marín",450000,508525.52,0,27667,0,3570.48,11200,46985.12,0,0,0,0,0,0,1047948.12,"PAN",NA
"México","23","Mercedes del Carmen Ortíz Figueroa",2e+05,508525.52,0,27667,821,0,0,1690,0,0,0,0,0,0,738703.52,"PAN",NA
"México","24","Antonio García Mendoza",2e+05,508525.52,0,27667,0,0,36966.3,48772,0,1028,0,0,0,0,822958.82,"PAN",NA
"México","25","Carlos Axel Buendía Hernández",2e+05,508525.52,0,27667,0,4703.79,1372.5,0,0,0,0,0,0,0,742268.81,"PAN",NA
"México","26","Eduwiges Zarza Arizmendi",2e+05,508525.52,0,27667,50000,0,0,0,50000,50000,0,0,0,0,886192.52,"PAN",NA
"México","27","María Vanessa Languendik Muñoz",4e+05,507676.9,0,28515.62,0,0,0,0,0,30,0,0,0,0,936222.52,"PAN",NA
"México","28","Erik Soto Brindis",2e+05,508525.52,0,27667,0,9800,37792.4,6032,700,0,0,0,0,0,790516.92,"PAN",NA
"México","29","Carlos Alberto Pérez Cuevas",2e+05,508525.52,0,27667,0,13250,45920,5500,0,0,0,0,0,0,800862.52,"PAN",NA
"México","30","Arnulfo Rojas Cruz",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","31","Nayeli Rosana Coyotzi Pérez",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","32","Sergio Robles Pérez",2e+05,508525.52,0,27667,0,0,1500,20013.8,0,3050,0,0,0,0,760756.32,"PAN",NA
"México","33","Norma Leticia Flores Berrios",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","34","Martín Oscar González Morán",4e+05,508525.52,0,27667,0,0,0,0,20000,20000,0,0,0,0,976192.52,"PAN",NA
"México","35","Felicitas Merary Ortíz Rodríguez",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","36","Juan Carlos Varela Domínguez",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","37","Claudia Ivette León Saldívar",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","38","Yolanda Patricia Morales Barrios",2e+05,508525.52,0,27667,0,0,0,0,0,0,0,0,0,0,736192.52,"PAN",NA
"México","39","Sergio Rodrigo Farfán Alegría",2e+05,508525.52,0,27667,0,17608.8,0,0,0,0,0,0,0,0,753801.32,"PAN",NA
"México","40","Miguel Ángel Arce Rodríguez",2e+05,508757.1,0,27667,0,432,13500,17800,0,0,0,0,0,0,768156.1,"PAN",NA
"Michoacán","1","Pioquinto Huato Huato",2e+05,153161.47,0,62859.23,0,0,0,0,0,0,0,0,0,0,416020.7,"PAN",NA
"Michoacán","2","Fernando Alvarado Rangel",2e+05,153161.43,0,31288.89,0,23200,0,0,0,0,0,0,0,0,407650.32,"PAN",NA
"Michoacán","3","Liliana Hernández Salazar",2e+05,153161.43,0,74257.72,0,0,0,0,0,0,0,0,0,0,427419.15,"PAN",NA
"Michoacán","4","José Eduardo Anaya Gómez",2e+05,153161.43,0,92887.29,0,0,0,0,0,0,0,0,0,0,446048.72,"PAN",NA
"Michoacán","5","Ma. Eugenia Méndez Davalos",5e+05,153161.43,0,125738.76,0,0,0,0,0,0,0,0,0,0,778900.19,"PAN",NA
"Michoacán","6","Janeth Flores Téllez",2e+05,153161.43,0,96424.43,0,0,0,0,0,0,0,0,0,0,449585.86,"PAN",NA
"Michoacán","7","Martín Valdéz Sandoval",2e+05,153161.43,116000,46442.7,0,0,0,0,0,0,0,0,0,0,515604.13,"PAN",NA
"Michoacán","8","Rubí Rangel Reyes",5e+05,153161.43,0,184509.3,0,0,0,0,0,0,0,0,0,0,837670.73,"PAN",NA
"Michoacán","9","Ramona Sánchez García",2e+05,176361.43,0,56443.77,40000,0,0,50087.04,22400,0,0,0,0,0,545292.24,"PAN",NA
"Michoacán","10","Javier Eduardo Dávalos Palafox",500100,153161.43,56000,162555.95,0,0,0,0,0,0,0,0,0,0,871817.38,"PAN",NA
"Michoacán","11","Alejandra Rodríguez Álvarez",2e+05,153161.43,0,40702.79,0,0,0,0,0,0,0,0,0,0,393864.22,"PAN",NA
"Michoacán","12","Salvador Torres Mora",2e+05,153501.11,0,89663.12,0,0,0,0,0,0,0,0,0,0,443164.23,"PAN",NA
"Morelos","1","Edmundo Javier Bolaños Aguilar",5e+05,188768.79,0,70096.24,0,0,0,0,0,0,0,-124.7,0,0,758740.33,"PAN",NA
"Morelos","2","Francisco Alva Meraz",2e+05,188768.79,0,72865.74,50000,0,0,0,0,0,0,-2894.2,0,0,508740.33,"PAN",NA
"Morelos","3","Sergio Rodrigo Valdespin Pérez",2e+05,188768.79,0,72865.74,0,0,5718.8,0,3828,5618,0,-2894.2,0,0,473905.13,"PAN",NA
"Morelos","4","Alejandra Isabel Velasco Castrejón",2e+05,188768.79,0,72865.74,0,23825,0,12087.07,0,0,0,-2894.2,0,0,494652.4,"PAN",NA
"Morelos","5","Gabriela Pérez Cano",2e+05,188768.79,0,72865.74,0,0,0,11387.5,0,0,0,-2894.2,0,0,470127.83,"PAN",NA
"Nayarit","1","Rosa Gardenia González Naranjo",2e+05,323643.31,549095,67741.69,0,0,232,0,0,0,0,0,0,0,1140712,"PAN",NA
